CRT;STATUS;CLIENTE;TIPO DE TRANSPORTE;UF ORIGEM;CIDADE ORIGEM;PESO;UF DESTINO;CIDADE DESTINO; VALOR 
BR209;Entregue;POLYEXCEL INDUSTRIA E COMERCIO DE COMPOS;NﾇO;SP;BARUERI;27;AR;BUENOS AIRES; R$ 6.500,00 
BR210;Entregue;POLYEXCEL INDUSTRIA E COMERCIO DE COMPOS;NﾇO;SP;BARUERI;28;AR;LA TABLADA, BUENOS AIRES; R$ 6.500,00 
BR211;Entregue;POLYEXCEL INDUSTRIA E COMERCIO DE COMPOS;NﾇO;SP;BARUERI;28;AR;BUENOS AIRES; R$ 6.500,00 
BR213;Entregue;POLYEXCEL INDUSTRIA E COMERCIO DE COMPOS;NﾇO;SP;BARUERI;28;AR;BUENOS AIRES; R$ 6.500,00 
BR214;Entregue;POLYEXCEL INDUSTRIA E COMERCIO DE COMPOS;NﾇO;SP;BARUERI;27;AR;LA TABLADA, BUENOS AIRES; R$ 6.500,00 
BR215;Entregue;POLYEXCEL INDUSTRIA E COMERCIO DE COMPOS;NﾇO;SP;BARUERI;28;AR;SAN JUSTO, BUENOS AIRES; R$ 15.500,00 
BR216;Entregue;POLYEXCEL INDUSTRIA E COMERCIO DE COMPOS;NﾇO;SP;BARUERI;28;AR;SAN JUSTO, BUENOS AIRES; R$ 15.500,00 
BR217;Entregue;POLYEXCEL INDUSTRIA E COMERCIO DE COMPOS;NﾇO;SP;BARUERI;28;AR;BUENOS AIRES; R$ 6.500,00 
BR219;Entregue;POLYEXCEL INDUSTRIA E COMERCIO DE COMPOS;NﾇO;SP;BARUERI;28;AR;BUENOS AIRES; R$ 6.500,00 
BR220;Entregue;POLYEXCEL INDUSTRIA E COMERCIO DE COMPOS;NﾇO;SP;BARUERI;28;AR;BUENOS AIRES; R$ 6.500,00 
BR221;Entregue;POLYEXCEL INDUSTRIA E COMERCIO DE COMPOS;NﾇO;SP;BARUERI;28;AR;SAN JUSTO, BUENOS AIRES; R$ 15.500,00 
BR223;Entregue;POLYEXCEL INDUSTRIA E COMERCIO DE COMPOS;NﾇO;SP;BARUERI;27;AR;LA TABLADA, BUENOS AIRES; R$ 6.500,00 
BR224;Entregue;POLYEXCEL INDUSTRIA E COMERCIO DE COMPOS;NﾇO;SP;BARUERI;28;AR;BUENOS AIRES; R$ 6.500,00 
BR225;Entregue;POLYEXCEL INDUSTRIA E COMERCIO DE COMPOS;NﾇO;SP;BARUERI;28;AR;LA TABLADA, BUENOS AIRES; R$ 6.500,00 
BR226;Entregue;POLYEXCEL INDUSTRIA E COMERCIO DE COMPOS;NﾇO;SP;BARUERI;28;AR;SAN JUSTO, BUENOS AIRES; R$ 15.500,00 
BR227;Em trハsito;POLYEXCEL INDUSTRIA E COMERCIO DE COMPOS;NﾇO;SP;BARUERI;28;AR;LA TABLADA, BUENOS AIRES; R$ 6.650,00 
BR228;Em trハsito;E.L. INDUSTRIA E COMERCIO DE MOVEIS LTDA;NﾇO;RS;SﾇO MARCOS;4;AR;BUENOS AIRES; R$ 6.500,00 
